Code,Name,Model,Size,RACKNO,Sale_rate,GST_rate,Brand_name,Lingam_stock,Kumari_stock
"220339040","SPACER;RING-6\" BFV","","",null,5331,18,"ELGI ROCD SPARES",0,0
"220340110","COOLER ASSY OIL&AFTER E10","","",null,151364,18,"ELGI ROCD SPARES",0,0
"220341020","COOLER ASSY E12 AC OIL & AFTER","","",null,163450,18,"ELGI ROCD SPARES",0,0
"220343010","COOLER ASSY;OIL&AFTER MICO","","",null,545566,18,"ELGI ROCD SPARES",0,0
"220345130","SILENCER ELE10/12 DPSAC","","",null,13147,18,"ELGI ROCD SPARES",0,0
"220350030","FLANGE ASSY; DCV; E10","","",null,1133,18,"ELGI ROCD SPARES",0,0
"220350040","FLANGE ASSY DCV ELE10 25HP","","",null,2456,18,"ELGI ROCD SPARES",0,0
"220352010","FLANGE ASSY DCV E16","","",null,1969,18,"ELGI ROCD SPARES",0,0
"220370450","CONNECTOR; RUBBER; 4\"","","",null,491,28,"ELGI ROCD SPARES",0,0
"220370480","NIPPLE; HEX; REDU; 1 1/2X1 1/4","","",null,792,18,"ELGI ROCD SPARES",0,0
"220370490","NIPPLE; HEX; REDU; 3/4\"X1/2\"NP","","","",422,18,"ELGI ROCD SPARES",0,0
"220370500","NIPPLE; HEX; REDU; 1\"X1/4\"NPT","","",null,276,18,"ELGI ROCD SPARES",0,0
"220370540","NIPPLE; HEX; REDU; 1/2\"X1/4\"NP","","","",233,18,"ELGI ROCD SPARES",0,0
"220370680","ADAPTER; HOSE; 1/4 BSPX1/4 NPT","","","",811,18,"ELGI ROCD SPARES",0,0
"220370700","FERRULE; 1/4\"","","","",113,18,"ELGI ROCD SPARES",0,0
"220370770","ADAPTER HOSE 11/4\"NPT 11/4\"BSP","","","",652,18,"ELGI ROCD SPARES",0,0
"220371040","COUPLING; STRAIGHT; 1/4\"X","","",null,198,5,"ELGI ROCD SPARES",0,0
"220371050","NIPPLE; HEX; REDU; 1/8\"X1/4\"","","","I79/B",164,18,"ELGI ROCD SPARES",0,1
"220371089","BLOW DOWN VALVE KIT","","","I80/E",1677,18,"ELGI ROCD SPARES",0,3
"220371399","KIT MPV E20 EPSAC","","","",2944,18,"ELGI ROCD SPARES",0,0
"220371560","ADAPTER; HOSE; 1 1/2\"X1 1/2\"","","","",880,18,"ELGI ROCD SPARES",0,0
"220371670","ADAPTER; HOSE; 3/4 INCH BSPX3/","","","",265,18,"ELGI ROCD SPARES",0,0
"220371770","CONNECTOR; RUBBER; 6\"","","","",1234,18,"ELGI ROCD SPARES",0,0
"220372920","ACTUATOR BRACKET -12S","","",null,127,5,"ELGI & ATS ELGI SPARES",0,0
"220373320","ELBOW; REDU; RUBBER; 6\"X4\"","","","",2499,18,"ELGI ROCD SPARES",0,0
"220374390","FIXING PLATE BFV 10\" TO 8\"","","",null,11359,18,"ELGI ROCD SPARES",0,0
"220374400","FLANGE; ROUND; DCV","","",null,1567,18,"ELGI ROCD SPARES",0,0
